Species,Region,YEAR,N_SITES,PPOS,NOMINAL_STD,StdWtYhat,newLB,newUB,CVannual
Yellowmouth Grouper,West,2017,NA,NA,0.668,0.773,0.708,0.839,0.304
Yellowmouth Grouper,West,2018,NA,NA,0.347,0.943,0.781,1.105,0.619
Yellowmouth Grouper,West,2019,NA,NA,0.875,1.581,1.446,1.716,0.308
Yellowmouth Grouper,West,2021,NA,NA,0.679,0.601,0.56,0.643,0.25
Yellowmouth Grouper,West,2022,NA,NA,1.02,0.938,0.882,0.995,0.218
Yellowmouth Grouper,West,2023,NA,NA,0.357,0.451,0.408,0.494,0.342
Wenchman Snapper,West,1993,NA,NA,0,0,0,0,8851.219
Wenchman Snapper,West,1994,NA,NA,0,0,0,0,6561.736
Wenchman Snapper,West,1995,NA,NA,0,0,0,0,11289.513
Wenchman Snapper,West,1996,NA,NA,0.295,0.808,0.359,1.257,0.659
Wenchman Snapper,West,1997,NA,NA,0.603,1.18,0.497,1.864,0.687
Wenchman Snapper,West,2002,NA,NA,0.225,0.279,0.107,0.45,0.731
Wenchman Snapper,West,2004,NA,NA,2.131,2.731,1.007,4.455,0.749
Wenchman Snapper,West,2005,NA,NA,0.529,0.74,0.431,1.048,0.495
Wenchman Snapper,West,2006,NA,NA,0.58,0.696,0.387,1.005,0.527
Wenchman Snapper,West,2007,NA,NA,0.573,0.702,0.428,0.976,0.463
Wenchman Snapper,West,2008,NA,NA,0.854,1.092,0.553,1.631,0.586
Wenchman Snapper,West,2009,NA,NA,0.155,0.167,0.1,0.234,0.477
Wenchman Snapper,West,2010,NA,NA,0.45,0.654,0.234,1.075,0.763
Wenchman Snapper,West,2011,NA,NA,0.946,1.436,0.504,2.368,0.771
Wenchman Snapper,West,2012,NA,NA,1.265,1.1,0.696,1.503,0.435
Wenchman Snapper,West,2013,NA,NA,0.279,0.218,0.114,0.323,0.569
Wenchman Snapper,West,2014,NA,NA,0.062,0.047,0.015,0.078,0.796
Wenchman Snapper,West,2015,NA,NA,1.203,0.781,0.412,1.149,0.561
Wenchman Snapper,West,2016,NA,NA,0.264,0.191,0.111,0.27,0.495
Wenchman Snapper,West,2017,NA,NA,2.296,1.595,1.084,2.106,0.38
Wenchman Snapper,West,2018,NA,NA,1.285,1.061,0.678,1.444,0.428
Wenchman Snapper,West,2019,NA,NA,3.604,1.935,1.5,2.369,0.266
Wenchman Snapper,West,2021,NA,NA,2.157,2.525,1.795,3.255,0.343
Wenchman Snapper,West,2022,NA,NA,2.05,2.057,1.491,2.624,0.327
Wenchman Snapper,West,2023,NA,NA,3.195,3.005,2.383,3.628,0.246
